Protocol Type,Source Bytes,Destination Bytes
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
6.0,0,66
6.0,0,66
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
,0,0
17.0,0,0
,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
17.0,0,0
